"";"short_name";"preferred_foot";"team_position";"attacking_crossing";"attacking_finishing";"attacking_heading_accuracy";"attacking_short_passing";"attacking_volleys";"skill_dribbling";"skill_curve";"skill_fk_accuracy";"skill_long_passing";"skill_ball_control";"movement_acceleration";"movement_sprint_speed";"movement_agility";"movement_reactions";"movement_balance";"power_shot_power";"power_jumping";"power_stamina";"power_strength";"power_long_shots";"mentality_aggression";"mentality_interceptions";"mentality_positioning";"mentality_vision";"mentality_penalties";"mentality_composure";"defending_marking";"defending_standing_tackle";"defending_sliding_tackle";"goalkeeping_diving";"goalkeeping_handling";"goalkeeping_kicking";"goalkeeping_positioning";"goalkeeping_reflexes"
"9687";"M. Meilinger";"Left";"RM";66;62;45;66;55;68;67;64;59;66;72;71;71;58;66;68;60;65;64;64;46;34;58;63;62;56;29;33;35;6;6;9;6;15
"9688";"G. Saunders";"Right";"RDM";45;33;44;69;36;53;53;51;66;65;57;53;66;72;66;43;72;66;63;48;66;67;52;68;49;72;69;55;57;9;13;9;9;6
"9689";"J. Bøge";"Right";"RB";66;35;59;60;26;56;45;25;56;61;65;71;65;61;69;49;64;77;69;35;60;63;54;52;35;62;60;67;66;7;8;15;15;15
"9690";"S. Yılmaz";"Right";"RDM";60;64;66;60;65;69;70;55;59;68;77;77;68;63;66;71;71;61;68;63;70;39;65;60;55;60;21;37;19;13;10;11;14;13
"9691";"S. Mantom";"Right";"LCM";58;58;57;66;46;62;63;62;66;65;66;64;73;64;75;69;71;75;68;64;68;59;60;65;60;67;60;63;61;1;1;1;1;1
"9692";"M. Jankowski";"Right";"LM";56;63;65;64;64;62;49;57;60;64;72;76;77;67;76;63;83;77;71;56;50;49;65;60;55;64;50;44;33;12;16;11;7;9
"9693";"O. Halvorsen";"Right";"RM";64;56;46;59;55;65;54;62;56;66;74;73;67;62;67;64;79;82;63;56;70;51;65;58;71;60;58;57;48;15;10;6;9;11
"9694";"B. Pranter";"Right";"CAM";61;67;62;67;57;61;54;73;63;66;74;71;55;63;67;77;68;70;66;68;51;52;62;68;74;68;40;56;49;16;13;7;14;7
"9695";"D. McGregor";"Right";"SUB";22;28;72;45;27;38;32;29;43;44;40;49;26;48;40;43;77;72;86;25;77;58;45;40;43;50;63;66;63;11;12;10;16;10
"9696";"R. Tafazolli";"Left";"SUB";38;18;68;54;35;41;22;40;46;54;52;52;54;62;60;37;68;69;82;39;54;65;21;31;32;60;66;66;65;16;13;14;13;15
"9697";"L. Néry";"Right";"SUB";64;39;62;62;46;59;58;48;61;62;67;68;72;63;73;59;75;81;71;56;63;66;26;62;55;61;64;63;64;15;11;6;7;9
"9698";"M. Könnecke";"Right";"SUB";65;62;52;58;62;67;62;52;57;67;90;90;81;63;80;68;74;78;46;63;58;48;61;64;50;63;39;21;13;12;11;7;9;13
"9699";"C. Hemlein";"Right";"RM";64;59;52;62;59;65;70;66;53;63;80;83;72;60;71;72;68;68;67;65;74;32;61;61;65;67;33;38;57;14;14;8;7;6
"9700";"F. Signorelli";"Right";"SUB";61;45;55;68;46;63;53;51;66;64;65;65;75;65;69;66;67;75;66;59;72;62;63;69;47;67;60;63;63;13;11;11;13;12
"9701";"T. Kern";"Right";"LDM";55;66;52;66;55;65;67;59;63;65;75;69;79;66;78;67;81;83;66;63;51;54;67;66;63;67;44;43;38;9;13;8;14;9
"9702";"Y. Qasmi";"Left";"SUB";42;65;60;54;64;58;43;45;33;61;50;61;63;69;53;73;66;46;74;58;65;41;72;48;57;65;12;28;35;16;14;13;16;7
"9703";"G. Herrem";"Right";"RS";48;65;63;53;69;59;47;43;33;64;72;73;59;59;59;68;63;60;73;52;39;38;67;34;55;51;31;19;15;15;14;7;11;15
"9704";"R. Riski";"Right";"RW";60;63;58;63;59;67;62;56;59;66;82;77;83;55;80;66;73;73;55;59;51;43;64;64;66;65;41;47;43;12;9;12;10;15
"9705";"J. Willis";"Left";"GK";13;8;12;34;13;13;14;13;38;15;47;46;52;60;55;45;72;26;71;16;31;24;13;35;22;46;15;12;10;68;65;60;68;65
"9706";"J. Verhoek";"Right";"SUB";53;66;70;44;64;56;57;61;42;64;52;60;55;67;56;73;81;66;84;59;83;26;69;57;65;65;14;21;17;13;7;13;6;14
"9707";"C. Wernitznig";"Right";"SUB";62;60;33;58;58;69;69;64;49;66;81;76;75;61;72;75;66;70;73;72;44;41;60;62;53;68;49;43;40;15;12;9;16;15
"9708";"Manuel Sánchez";"Left";"SUB";39;38;59;62;29;47;48;49;58;54;52;54;55;62;57;62;62;84;75;36;78;71;40;51;48;54;64;67;62;10;8;7;10;10
"9709";"N. Peñailillo";"Left";"LB";67;61;62;71;49;64;64;74;62;65;80;71;57;62;54;75;82;71;79;72;71;60;64;59;70;51;58;67;57;8;9;10;16;15
"9710";"Choi Bo Kyung";"Left";"SUB";47;32;60;67;41;47;34;35;58;55;64;61;71;68;64;52;67;76;72;43;67;71;32;57;45;51;56;66;62;8;10;14;15;10
"9711";"Yun Il Lok";"Right";"LM";61;58;49;70;58;60;64;56;62;62;75;72;78;66;72;60;68;71;71;54;58;60;69;68;51;55;45;44;23;6;11;6;8;12
"9712";"Jung Seung Yong";"Left";"LB";62;36;52;57;24;60;66;46;50;62;73;73;78;66;65;56;64;74;74;41;54;64;53;45;35;58;62;66;63;9;14;7;7;10
"9713";"M. O'Halloran";"Right";"RM";62;67;49;59;58;68;58;39;48;64;85;92;89;57;67;70;67;74;70;64;31;45;54;59;45;65;28;21;15;15;13;6;15;13
"9714";"S. Gannon";"Right";"SUB";64;53;58;63;55;62;53;35;56;61;73;77;69;60;65;56;68;78;74;44;59;61;63;56;44;60;62;64;62;10;10;15;9;10
"9715";"P. Segbefia";"Right";"RES";63;51;43;67;49;73;59;61;64;70;78;73;69;67;75;58;56;64;67;52;59;56;69;66;60;60;57;49;47;15;10;12;13;13
"9716";"B. Kessel";"Right";"RB";62;57;73;63;40;58;50;48;59;62;59;61;54;64;56;65;57;62;82;42;79;64;56;52;67;67;68;70;69;10;15;11;11;15
"9717";"J. Washausen";"Right";"SUB";43;31;63;62;29;38;48;45;59;50;60;65;61;69;58;33;69;77;73;35;65;69;33;55;50;55;70;67;64;9;12;13;15;16
"9718";"J. Reinhardt";"Right";"RDM";53;48;57;68;50;57;57;50;65;58;71;71;69;64;68;72;75;73;70;62;68;63;55;62;54;63;64;65;61;12;6;16;15;12
"9719";"A. Corsi";"Right";"SUB";67;58;62;67;52;66;64;64;63;67;66;68;75;63;72;66;71;67;66;59;62;66;58;60;55;67;64;64;64;12;7;9;13;9
"9720";"D. Toia";"Left";"SUB";60;39;62;63;46;63;58;34;56;62;74;70;66;64;72;68;81;75;64;62;74;65;50;54;49;61;60;64;63;15;6;15;7;16
"9721";"A. Luna";"Right";"SUB";65;59;56;64;61;65;81;73;57;65;86;85;88;58;84;74;72;66;33;64;43;23;59;58;64;60;37;36;31;12;13;15;7;13
"9722";"M. Akyüz";"Right";"SUB";70;67;66;62;56;66;51;61;57;64;69;70;56;58;38;72;35;65;69;65;57;42;57;57;67;59;29;49;39;16;7;13;11;10
"9723";"D. Kempe";"Left";"RES";60;25;62;62;31;60;57;49;58;61;62;78;58;66;59;68;76;66;78;56;76;65;49;52;52;65;61;66;69;11;15;11;6;6
"9724";"M. de Leeuw";"Right";"CAM";52;66;83;66;68;65;52;57;51;69;54;41;67;68;74;67;77;73;65;65;72;53;74;64;68;66;55;53;59;6;15;12;8;14
"9725";"J. Schwadorf";"Left";"SUB";63;53;35;62;53;71;62;48;52;66;78;77;77;64;78;65;72;66;53;51;60;19;59;61;52;51;25;34;26;6;8;6;8;11
"9726";"M. Barreto";"Right";"RM";65;63;47;68;52;68;60;66;62;65;80;76;82;60;76;64;71;68;57;61;52;45;63;59;67;55;21;17;18;14;10;15;15;9
"9727";"A. Wiegel";"Right";"RB";64;62;54;65;56;66;55;48;54;63;78;79;82;62;75;66;72;77;69;60;64;67;71;62;58;69;60;59;62;12;14;8;14;14
"9728";"M. Pellizzer";"Left";"LCB";11;13;64;54;25;27;11;18;53;59;78;75;74;58;77;57;88;74;73;49;70;61;12;22;19;62;62;66;63;6;13;9;9;8
"9729";"P. Hosiner";"Right";"SUB";50;62;61;56;64;63;68;30;47;66;77;80;75;68;81;65;76;66;62;52;45;18;71;59;64;68;36;19;16;13;14;14;16;12
"9730";"Y. Otsu";"Right";"SUB";67;62;47;65;62;67;64;61;57;61;68;72;73;64;63;68;78;89;74;61;62;39;60;61;64;57;41;28;23;15;11;14;7;16
"9731";"B. Blume";"Right";"LCM";54;56;40;64;44;68;49;44;56;67;76;71;78;65;82;62;59;70;62;53;57;40;63;64;47;59;47;50;43;6;9;10;12;16
"9732";"K. Naismith";"Left";"LM";68;63;64;63;45;65;68;74;61;64;76;75;76;64;76;73;72;75;76;71;65;56;52;64;59;61;64;64;63;9;12;6;10;7
"9733";"B. Çalık";"Right";"SUB";64;61;57;70;61;69;45;43;61;65;75;73;73;61;71;68;77;74;59;59;65;47;57;62;67;46;32;40;37;7;7;12;8;16
"9734";"H. Shala";"Left";"LCM";56;64;42;64;62;69;61;56;57;72;73;74;81;65;81;66;62;73;53;62;73;57;61;68;44;68;48;55;52;11;8;12;9;16
"9735";"André Micael";"Right";"SUB";34;22;63;52;32;35;30;29;39;51;34;45;36;65;45;42;70;49;78;28;69;66;25;31;45;64;64;66;61;9;8;12;15;7
"9736";"T. Kløve";"Right";"RCM";57;61;45;64;51;69;54;60;59;69;79;76;77;70;84;61;42;86;52;60;43;53;55;67;47;69;58;60;45;14;12;15;11;14
"9737";"J. Omolo";"Right";"SUB";33;33;68;65;36;58;37;52;66;64;64;65;62;64;62;68;65;75;70;51;71;62;56;58;53;70;61;64;62;16;14;10;12;12
"9738";"B. Diallo";"Left";"LCB";58;23;61;59;23;61;26;35;45;58;70;66;63;59;63;33;82;79;76;19;79;62;48;44;35;52;61;64;62;12;10;12;12;10
"9739";"Rafinha";"Right";"LCB";63;56;62;64;54;64;70;54;65;65;60;58;60;62;57;71;64;62;68;61;71;64;60;61;48;68;65;67;66;7;12;13;7;12
"9740";"J. Ojala";"Right";"SUB";41;17;72;58;28;42;25;23;54;60;52;45;49;64;49;39;28;60;91;27;58;65;40;36;41;70;60;69;54;12;8;11;8;7
"9741";"C. Lade";"Right";"SUB";55;36;54;62;44;60;59;48;58;60;73;69;75;60;74;49;79;78;47;31;81;67;55;50;58;50;69;67;64;14;8;6;12;9
"9742";"R. Gaddis";"Right";"RB";52;27;58;59;30;63;55;31;50;61;77;77;77;62;75;28;54;80;59;24;65;61;51;43;39;49;67;69;65;15;15;9;7;14
"9743";"Nathan Júnior";"Right";"RES";53;62;62;59;62;66;43;46;55;69;72;72;70;60;64;68;63;66;74;60;55;24;62;60;61;50;23;32;27;10;10;7;7;12
"9744";"Bae Seul Gi";"Right";"SUB";28;17;70;29;25;45;29;27;26;55;48;41;46;59;69;36;75;62;77;18;75;65;30;42;37;50;67;64;62;12;7;10;12;12
"9745";"Fullana";"Right";"SUB";55;62;56;67;59;63;68;55;62;64;72;70;69;65;73;70;71;81;62;59;58;57;70;68;57;67;55;50;46;12;10;12;10;6
"9746";"N. Manfredini";"Right";"SUB";18;12;16;25;11;11;12;13;24;22;49;40;37;55;44;47;51;32;71;12;17;27;14;22;23;57;7;16;16;69;64;63;63;69
"9747";"M. Al Sahlawi";"Right";"RES";58;67;63;65;65;60;64;53;47;62;52;61;67;72;66;67;77;66;68;64;60;26;64;63;77;62;17;12;16;12;9;6;14;7
"9748";"A. Asiri";"Right";"SUB";35;24;68;54;25;26;16;26;46;50;61;65;63;58;60;43;88;81;70;31;75;64;11;48;47;49;65;63;62;6;12;14;15;8
"9749";"A. Al Faraj";"Right";"SUB";53;46;50;67;42;65;49;41;63;68;70;71;71;70;71;55;49;80;64;58;71;62;59;64;44;65;59;64;58;11;10;11;16;15
"9750";"B. van Hintum";"Left";"SUB";71;39;60;68;59;62;77;76;67;65;64;55;63;64;71;74;73;62;66;59;64;69;55;56;66;68;68;67;65;7;12;6;13;12
"9751";"R. Sufyani";"Left";"SUB";62;65;60;65;53;63;69;57;60;66;69;69;78;63;63;68;78;74;72;53;52;34;64;62;66;55;23;35;36;13;12;12;13;7
"9752";"M. Vilotić";"Right";"SUB";43;38;72;58;35;53;34;42;59;57;37;39;54;54;62;62;65;64;77;52;59;63;39;41;61;66;64;68;65;13;12;12;14;14
"9753";"M. Gajos";"Right";"RCM";66;67;60;67;57;67;65;65;65;68;77;71;71;61;80;73;85;79;69;68;54;67;66;65;56;68;57;62;58;7;6;13;7;7
"9754";"D. Malone";"Right";"SUB";66;30;62;68;30;66;42;37;59;65;58;67;48;65;43;68;72;73;82;56;76;60;57;51;33;57;63;68;67;11;11;9;12;8
"9755";"H. Zuck";"Left";"SUB";67;34;49;68;60;67;53;39;53;67;73;71;80;64;80;65;63;63;43;58;41;27;64;70;56;58;25;31;36;7;11;7;9;8
"9756";"M. Salem";"Right";"LCB";50;19;61;51;29;42;33;26;31;47;45;44;58;58;67;69;92;79;74;22;80;64;36;38;34;50;63;64;66;14;6;10;16;10
"9757";"S. Velev";"Right";"LDM";44;46;52;63;50;70;51;58;59;64;65;74;70;69;63;63;71;71;68;57;58;66;46;72;57;61;70;68;51;6;7;11;12;10
"9758";"M. Rusike";"Right";"SUB";62;66;48;62;65;64;63;32;53;67;76;75;73;64;73;73;66;61;66;66;68;21;61;60;58;61;24;18;19;14;9;12;15;6
"9759";"G. Valverde";"Right";"";64;25;63;62;30;57;35;31;59;62;64;62;52;62;67;25;59;85;66;27;70;62;39;35;37;48;71;65;66;9;6;12;7;13
"9760";"M. Mohsen";"Right";"";51;66;70;52;52;64;46;32;34;68;66;68;55;52;58;69;73;60;75;56;57;20;65;49;73;60;40;17;16;11;11;10;14;12
"9761";"M. Lorenz";"Left";"LM";70;46;57;67;51;64;75;71;70;64;73;73;71;62;73;73;71;70;62;57;69;52;60;67;54;59;43;51;53;15;7;7;6;9
"9762";"J. Oumari";"Left";"SUB";32;38;65;59;26;36;28;25;57;44;55;71;52;58;62;53;70;64;82;38;65;59;30;30;42;50;63;71;65;10;12;6;7;14
"9763";"M. Ahlschwede";"Right";"LM";65;22;62;59;23;62;36;29;48;60;68;74;62;62;62;58;81;80;73;40;67;62;34;37;30;61;65;64;64;12;7;12;12;6
"9764";"S. Al Muwallad";"Right";"RB";64;51;57;66;51;60;50;45;53;63;77;77;70;64;67;52;56;76;76;61;66;59;60;53;59;46;59;63;64;11;10;9;13;11
"9765";"M. Pintilii";"Right";"SUB";58;60;67;65;42;49;64;67;62;62;52;61;66;65;60;75;72;61;75;72;75;66;66;62;61;65;64;67;65;8;7;12;8;7
"9766";"N. Al Mousa";"Right";"SUB";59;53;48;66;30;63;55;57;67;65;55;66;71;62;61;56;75;85;71;59;53;60;58;66;37;67;64;64;62;12;15;12;9;11
"9767";"Diogo Acosta";"Right";"SUB";57;68;65;56;53;63;43;32;42;62;73;72;75;67;57;52;58;69;70;46;14;11;72;43;61;53;15;15;12;11;13;12;7;14
"9768";"Joo Min Kyu";"Right";"ST";33;64;68;62;66;59;50;40;54;65;64;63;68;60;72;70;70;80;80;67;62;59;65;64;65;67;33;58;39;14;10;11;12;16
"9769";"L. Doucouré";"Right";"SUB";60;63;75;62;56;70;47;41;51;68;64;73;51;64;55;68;58;73;82;57;38;34;67;56;63;55;28;25;27;7;8;14;14;11
"9770";"A. Sánchez";"Left";"SUB";20;18;17;24;19;20;13;14;22;20;23;20;23;66;48;50;33;18;66;14;13;10;10;43;25;33;24;15;14;64;61;66;65;69
"9771";"T. Lehne Olsen";"Right";"ST";42;67;64;61;40;58;68;66;52;63;77;75;65;57;66;71;68;75;81;62;74;12;63;57;68;55;20;28;26;6;13;11;9;8
"9772";"C. Lizarazo";"Left";"SUB";63;56;48;66;63;65;67;64;63;65;87;65;75;62;79;64;55;61;59;63;46;32;62;65;68;63;54;40;28;12;11;13;8;7
"9773";"H. Salinas";"Left";"SUB";71;59;47;62;40;59;70;71;59;67;86;87;82;54;75;71;66;76;65;72;64;60;51;60;59;48;55;61;52;9;9;8;10;8
"9774";"J. Pineda";"Right";"SUB";55;65;53;57;48;71;54;51;44;70;85;76;80;63;67;67;67;54;60;57;57;26;68;62;70;66;42;14;12;10;8;6;14;8
"9775";"J. Lopera";"Right";"SUB";67;61;62;63;64;63;59;64;62;69;61;68;66;70;59;58;83;80;75;63;72;60;56;48;65;65;59;63;62;11;7;7;9;15
"9776";"J. Mena";"Left";"RCB";22;26;61;53;28;47;30;27;52;53;65;76;48;57;50;63;85;55;81;16;77;64;27;32;38;53;59;63;64;9;6;10;8;14
"9777";"C. Meneses";"Right";"SUB";55;37;56;69;63;61;59;61;72;67;59;50;65;60;60;57;72;76;72;61;73;64;66;58;59;64;61;67;64;13;14;8;10;8
"9778";"C. Escobar";"Right";"SUB";29;67;72;59;63;59;58;59;58;64;65;60;63;62;51;64;90;92;76;58;50;28;68;43;63;61;32;23;20;13;15;15;16;14
"9779";"B. García";"Right";"SUB";62;40;59;63;22;54;47;28;59;60;64;47;55;66;57;43;33;66;81;26;65;68;54;57;35;63;65;67;66;14;7;8;10;11
"9780";"M. Balanta";"Right";"SUB";63;64;63;62;48;70;47;28;59;64;75;77;70;56;65;64;59;69;72;52;55;24;59;66;56;65;60;27;22;12;16;9;7;12
"9781";"R. Jérez";"Left";"GK";14;17;20;23;12;11;18;18;17;24;41;40;30;63;28;49;50;38;69;14;25;22;13;37;25;35;21;18;16;65;63;65;68;67
"9782";"C. Ayala";"Right";"RDM";47;45;57;70;45;64;57;45;68;70;51;56;67;66;63;51;72;79;77;62;53;54;54;62;50;66;64;62;56;12;10;10;16;6
"9783";"N. Maturana";"Left";"RW";64;59;47;66;41;66;64;61;65;66;78;75;73;58;77;65;54;63;52;67;54;39;65;66;40;49;37;54;48;14;11;12;8;7
"9784";"I. Díaz";"Right";"SUB";32;65;65;57;58;62;57;38;50;63;69;70;64;61;55;68;75;61;82;50;79;16;66;50;74;58;20;23;21;15;13;7;9;10
"9785";"J. Castro";"Right";"SUB";68;49;50;59;29;59;62;61;55;60;71;84;75;61;69;54;65;77;72;49;77;65;54;48;35;52;56;64;66;16;8;11;8;10
"9786";"Y. Mosquera";"Right";"LDM";51;31;62;62;45;61;40;36;59;66;56;50;64;71;63;68;66;74;73;50;73;66;39;58;44;48;57;68;65;9;13;13;12;10
"9787";"E. Mosquera";"Left";"LB";71;36;68;56;34;55;59;34;57;59;69;70;61;60;57;62;75;76;75;47;60;63;54;57;49;59;60;65;68;10;6;12;15;13
"9788";"J. Espinoza";"Right";"SUB";66;48;57;67;45;66;49;39;64;63;74;74;78;66;76;57;80;60;65;56;65;59;45;49;49;59;61;69;66;11;12;7;6;14
"9789";"M. Yedro";"Right";"SUB";57;53;39;72;49;68;43;49;66;70;59;52;71;53;73;71;85;86;72;64;69;47;63;61;43;67;50;55;50;10;12;11;9;11
"9790";"S. Varas";"Right";"LS";23;65;64;57;43;59;46;56;42;63;63;62;69;61;36;72;86;79;83;59;64;15;68;64;69;54;34;20;22;6;9;15;7;13
"9791";"E. Godoy";"Right";"RCB";42;36;65;60;24;30;22;29;49;32;52;55;56;66;50;34;78;74;81;19;69;61;31;28;37;56;67;67;59;8;16;14;13;13
"9792";"A. Delfino";"Right";"SUB";24;20;61;55;29;23;21;27;48;52;55;61;53;63;60;50;81;63;74;15;69;64;29;32;36;50;62;72;54;13;12;6;6;10
"9793";"F. Montero";"Right";"SUB";57;47;54;67;56;64;55;51;65;66;66;69;67;67;70;67;66;72;66;63;73;68;68;57;56;53;68;65;62;13;10;6;6;14
"9794";"S. Pol";"Right";"RES";60;69;66;62;58;57;59;59;50;60;75;77;73;57;55;68;73;76;65;59;76;46;65;63;69;59;24;31;49;7;11;15;9;16
"9795";"Danilson da Cruz";"Right";"RES";48;49;59;66;35;46;40;40;62;61;41;43;55;68;60;80;55;59;79;55;74;66;43;51;40;63;70;64;58;15;9;16;13;9
"9796";"F. Heerkens";"Right";"LB";59;22;64;65;21;54;22;27;59;57;51;66;48;61;58;39;72;71;73;23;71;66;38;50;43;62;66;63;62;16;16;15;8;10
"9797";"K. Karami";"Right";"SUB";65;50;50;62;38;67;58;31;57;64;76;75;74;64;74;57;52;71;64;46;70;66;58;56;41;66;64;63;64;13;15;13;7;9
"9798";"J. Wójcicki";"Right";"RB";67;58;59;63;61;64;59;38;62;63;70;74;77;62;46;56;79;78;76;61;31;57;59;58;41;56;57;63;68;7;15;8;11;8
"9799";"M. El Makrini";"Right";"SUB";46;41;55;65;36;62;45;48;65;63;54;39;64;61;65;56;62;67;71;40;86;64;53;64;35;65;64;65;61;13;12;15;11;10
"9800";"M. Leitgeb";"Right";"CDM";45;54;60;71;42;55;54;38;62;65;33;48;67;62;62;51;83;68;69;68;76;61;40;56;42;68;64;67;64;10;7;8;7;15
"9801";"B. Vriends";"Right";"RCB";27;29;62;54;26;41;30;27;53;56;46;53;41;59;46;42;74;74;83;27;70;65;34;43;43;58;62;64;63;13;13;13;14;11
"9802";"S. Hertner";"Left";"SUB";66;31;52;64;45;61;68;49;61;64;73;74;70;64;73;52;72;67;67;50;62;60;50;48;65;56;68;66;64;10;8;12;14;7
"9803";"D. Antolić";"Right";"SUB";68;59;61;70;64;64;65;66;67;70;55;51;62;67;68;70;46;59;61;66;73;64;66;73;70;70;60;63;53;13;14;12;12;8
"9804";"A. Flores";"Left";"SUB";64;61;56;67;56;64;54;44;64;66;70;70;61;63;82;65;64;70;53;53;41;55;63;63;65;58;53;62;58;12;16;8;7;7
"9805";"A. Kofler";"Right";"GK";11;10;13;32;9;11;14;10;23;19;48;47;32;51;34;44;66;43;73;12;18;9;18;28;23;26;24;13;23;66;68;59;68;66
"9806";"J. Tanaka";"Left";"SUB";67;63;60;61;66;66;59;54;51;69;53;69;76;64;54;62;86;69;76;58;55;37;68;74;69;76;20;36;21;7;11;8;9;12
"9807";"S. Zwierschitz";"Right";"LCB";59;41;59;64;36;58;58;61;58;58;68;68;66;64;59;58;75;69;69;53;65;66;57;45;63;57;67;69;65;8;7;6;16;15
"9808";"Kim Min Woo";"Left";"LB";62;62;50;64;63;68;62;52;62;64;80;73;73;60;75;64;70;65;70;62;63;68;60;62;53;60;34;64;65;11;6;14;16;10
"9809";"A. Vuletich";"Right";"SUB";48;60;72;59;60;63;45;39;55;61;64;69;57;61;56;67;66;69;86;60;70;34;67;55;65;53;18;28;24;9;11;7;14;15
"9810";"A. Eriksson";"Left";"LB";73;38;50;66;44;63;72;60;65;65;73;80;60;60;60;73;59;82;72;51;60;58;52;63;48;56;62;60;61;8;7;7;15;8
"9811";"C. Espinosa";"Left";"CAM";47;51;32;74;65;66;69;61;73;70;50;33;59;58;73;59;36;30;46;69;43;25;53;75;68;61;21;45;44;9;8;10;14;8
"9812";"N. Nyauza";"Right";"SUB";51;54;66;66;21;66;26;28;64;66;77;74;74;55;79;35;91;60;66;13;39;66;23;26;49;53;66;70;69;11;7;8;7;14
"9813";"H. Hechalar";"Left";"SUB";58;62;55;63;60;67;64;62;56;65;80;77;83;64;75;64;67;73;64;63;39;43;62;61;65;63;56;21;19;14;11;16;14;14
"9814";"K. Opseth";"Left";"ST";59;67;64;59;51;58;65;70;42;62;67;66;56;57;55;75;72;59;83;66;52;16;64;49;59;49;30;21;12;15;12;10;8;6
"9815";"Ji Xiang";"Right";"SUB";68;60;65;60;53;63;76;80;63;61;71;68;62;63;72;70;60;74;80;63;63;61;60;58;50;60;68;67;62;10;6;15;8;7
"9816";"Jeong Woo Jae";"Right";"SUB";66;55;58;67;40;65;55;50;61;65;71;75;71;61;73;68;59;73;68;69;63;67;65;58;45;61;64;63;56;12;6;15;11;13
"9817";"G. Alsan";"Right";"SUB";62;48;46;68;54;68;67;67;72;70;60;67;64;69;84;63;54;53;61;63;50;52;59;65;72;50;54;62;59;6;12;13;13;9
"9818";"M. Akbaş";"Left";"RES";63;38;70;60;33;58;58;35;58;60;54;31;63;65;50;75;59;68;79;66;66;63;48;38;44;65;62;68;65;14;14;12;14;7
"9819";"F. Ciampichetti";"Right";"SUB";35;71;74;39;60;59;44;31;39;61;55;59;65;62;37;66;77;67;85;58;57;28;67;46;71;70;42;26;22;6;10;8;9;7
"9820";"M. Bilate";"Right";"ST";31;64;60;57;53;58;35;30;46;63;76;83;54;56;43;74;70;69;86;62;62;22;58;54;66;54;25;15;20;15;16;14;11;15
"9821";"R. Crivello";"Left";"SUB";64;46;57;64;30;59;54;32;56;59;72;72;60;66;58;48;58;79;64;38;58;63;55;57;37;66;65;61;65;6;11;7;13;9
"9822";"Li Lei";"Left";"LB";62;26;59;63;48;54;51;47;61;57;72;74;65;65;64;57;68;71;69;32;74;62;62;61;44;51;60;66;65;15;8;11;7;8
"9823";"M. Čovilo";"Right";"SUB";54;46;72;66;44;56;43;57;64;64;38;37;34;66;34;54;86;57;90;56;62;70;62;54;49;63;58;69;65;15;6;7;9;12
"9824";"S. Mpontshane";"Left";"SUB";19;14;29;32;20;24;20;22;41;22;48;45;33;52;55;47;61;31;69;20;22;23;15;45;22;39;26;15;23;66;63;62;65;73
"9825";"I. Santillán";"Left";"SUB";67;55;43;67;55;66;52;60;65;66;73;72;76;57;66;63;58;70;65;64;61;64;56;56;63;59;61;65;66;14;14;12;12;7
"9826";"B. Emir";"Left";"SUB";58;32;52;62;29;64;51;46;54;62;73;70;63;56;68;65;64;64;61;58;60;66;57;48;49;52;69;70;72;13;13;15;13;8
"9827";"Kim Sung Ju";"Left";"SUB";65;57;48;68;44;66;64;40;67;67;64;65;63;62;61;68;55;66;75;65;44;59;68;62;44;56;49;65;62;7;10;14;10;8
"9828";"M. Johnson";"Left";"RW";68;51;44;64;54;68;60;54;53;68;89;86;83;58;71;67;61;72;57;54;38;38;54;58;53;62;54;61;54;14;14;11;10;7
"9829";"S. Aasmundsen";"Right";"RCM";66;58;45;67;42;63;55;61;64;67;55;66;73;68;75;59;82;81;66;57;63;57;57;68;48;61;53;54;45;10;9;14;10;11
"9830";"Jano";"Right";"SUB";62;43;58;62;35;57;68;66;64;63;39;57;35;78;50;66;62;66;71;49;56;74;36;65;61;70;60;59;60;16;10;7;15;15
"9831";"N. Hammann";"Right";"LB";68;50;59;63;30;56;69;67;71;62;70;69;59;60;61;72;85;70;74;65;77;66;52;43;62;59;62;64;61;9;12;12;10;9
"9832";"Jailson Acuna";"Right";"SUB";7;8;6;19;13;16;8;13;23;17;12;13;24;60;32;58;23;14;58;11;19;6;5;27;26;56;16;7;13;57;74;77;63;68
"9833";"Narcisso Mau";"Right";"SUB";70;51;61;65;48;45;48;62;62;73;64;66;52;60;71;61;64;63;58;60;79;53;52;47;65;59;70;60;72;16;11;11;17;13
"9834";"Botelhinonsa";"Right";"SUB";62;41;62;65;47;52;54;54;53;62;66;61;47;58;53;71;61;74;81;56;76;66;48;52;62;61;72;71;63;11;8;19;9;17
"9835";"Edenildo Lagoas";"Right";"SUB";75;45;68;66;42;50;45;75;65;68;75;49;56;63;57;60;59;72;61;67;68;65;41;50;68;58;74;63;57;15;18;11;14;11
"9836";"Dilson Calegari";"Left";"SUB";62;66;71;67;58;61;53;50;62;63;70;62;63;62;61;62;55;53;59;69;43;57;61;74;60;76;10;39;33;17;10;13;14;17
"9837";"L. Balanta";"Left";"SUB";60;38;69;56;37;55;50;32;36;60;64;70;59;67;52;48;72;65;72;42;49;64;58;56;45;58;62;68;71;9;12;13;7;8
"9838";"Nazario Serpe";"Right";"SUB";55;34;45;70;22;33;26;49;54;45;58;52;56;68;68;52;72;64;68;40;67;75;24;62;55;63;65;71;71;16;14;15;18;15
